372	00:28:59,742	00:29:00,742	$But I...
373	00:29:01,199	00:29:02,349	$I wouldn't...
374	00:29:02,983	00:29:04,376	$Wardeness of the North?
375	00:29:04,406	00:29:06,606	$You are the last surviving Stark.
376	00:29:07,295	00:29:08,645	$He needs you.
377	00:29:09,376	00:29:12,064	$And what if you're wrong?$What if Stannis never attacked Winterfell
378	00:29:12,094	00:29:14,894	$or he does, and the$Bolton's defeat him?
379	00:29:15,029	00:29:19,179	$Then you will take this Bolton boy,$Ramses, and make him yours.
380	00:29:19,268	00:29:21,951	$- I don't know how to do that.$- Of course you do.
381	00:29:22,454	00:29:24,154	$He's already fallen for you.
382	00:29:24,879	00:29:26,189	$His father frightens me.
383	00:29:26,219	00:29:27,237	$And he should...
384	00:29:27,267	00:29:28,867	$he's a dangerous man.
385	00:29:30,058	00:29:33,358	$But even the most dangerous$men, can be outmaneuvered.
386	00:29:33,873	00:29:36,473	$And you've learned to$manouver from the very best.
387	00:29:38,803	00:29:40,239	$I'll return before too long.
388	00:29:41,033	00:29:42,683	$You be strong, without me.
389	00:29:51,867	00:29:53,267	$The North will be yours.
390	00:29:55,311	00:29:56,311	$Do you believe me?
391	00:29:59,409	00:30:03,159	$I expect I'll be a married$woman by the time you return.
392	00:31:06,575	00:31:07,575	$Breakfast?
393	00:31:12,158	00:31:14,072	$That would've been$a shit way to die.
394	00:31:14,102	00:31:17,196	$As far as I've seen, they're$all shit ways to die.
395	00:31:17,226	00:31:18,226	$<I> Aye.</I>
396	00:31:18,263	00:31:20,463	$But your lot have to give$the singers a good ending.
397	00:31:20,493	00:31:23,401	$I don't care what's sung$about me when I'm dead.
398	00:31:23,431	00:31:24,431	$No?
399	00:31:25,259	00:31:28,159	$Two knights, off to$rescue a princess...
400	00:31:28,208	00:31:31,264	$- sounds like a good song to me.$- Sounds like all the rest.
401	00:31:35,044	00:31:36,294	$What about you?
402	00:31:37,060	00:31:39,169	$What shit way would you choose?
403	00:31:40,533	00:31:43,184	$In my own Keep,$drinking my own wine.
404	00:31:43,598	00:31:46,620	$Watching my son's$grovel for a fortune.
405	00:31:47,118	00:31:48,330	$How disappointing...
406	00:31:49,612	00:31:52,373	$I thought you'd have something$more exciting planned.
407	00:31:53,017	00:31:54,855	$I've had an exciting life...
408	00:31:55,074	00:31:56,835	$I want my death to be boring.
409	00:31:58,836	00:32:00,492	$And how do you want to go?
410	00:32:00,502	00:32:02,524	$In the arms of the woman I love.
411	00:32:06,550	00:32:08,224	$She want the same thing?
412	00:32:13,901	00:32:14,923	$Let's go.
413	00:32:25,459	00:32:27,046	$The captain of that ship...
414	00:32:27,477	00:32:29,859	$- what was he, Braavosi?$- Pentosi?.
415	00:32:30,836	00:32:33,651	$- and he's headed to Old Town?$- As I said...
416	00:32:33,681	00:32:34,681	$Why?
417	00:32:35,161	00:32:37,299	$What's to stop him from$ducking down the coast...
418	00:32:37,309	00:32:39,961	$I tell the locals that Jaime$Lannister's in Dorne?
419	00:32:39,971	00:32:41,167	$A bag of gold.
420	00:32:42,153	00:32:46,480	$I'm not sure you understand how much people$hate your family in this part of the world.
421	00:32:46,521	00:32:47,978	$It was a heavy bag.
422	00:32:48,382	00:32:51,344	$And I bet he swore all$kinds of oaths to get it.
423	00:32:51,354	00:32:54,159	$But you won't be around if he breaks it.
424	00:33:03,180	00:33:05,213	$- How many do you count?$- Four.
425	00:33:05,815	00:33:07,573	$And how many do you think you can take?
426	00:33:07,583	00:33:09,249	$One... if he's slow.
427	00:33:18,998	00:33:20,761	$Fucked in the ass.
428	00:33:31,180	00:33:32,541	$Morning lads!
429	00:33:33,753	00:33:35,340	$Glad we found you.
430	00:33:36,082	00:33:37,082	$Who are you?
431	00:33:37,583	00:33:38,583	$Cooper.
432	00:33:39,132	00:33:40,415	$And this is Darnell.
433	00:33:40,782	00:33:43,848	$- You're from King's Landing?$- Accent gave me away.
434	00:33:45,599	00:33:47,926	$Flea Bottom.$Whelped and whipped.
