baratheon	greyjoy	lannister	martell	stark	targaryen	tyrell	time	episode	season
0	0	0	0	0	0	0	56	5	1
0	0	0	0	0	0	0	57	5	1
0	0	0	0	0	0	0	58	5	1
0	0	0	0	0	0	0	59	5	1
0	0	0	0	0	0	0	0	6	1
0	0	0	0	0	0	0	1	6	1
0	0	0	0	0	0	0	2	6	1
0	0	4	0	1	0	0	3	6	1
0	0	0	0	0	0	0	4	6	1
0	0	2	0	0	0	0	5	6	1
0	0	1	0	0	0	0	6	6	1
0	0	0	0	0	0	0	7	6	1
0	0	0	0	0	2	0	8	6	1
0	0	0	0	0	0	0	9	6	1
0	0	0	0	1	0	0	10	6	1
0	0	0	0	1	0	0	11	6	1
0	0	0	0	2	0	0	12	6	1
0	0	0	0	2	0	0	13	6	1
0	0	0	0	1	0	0	14	6	1
0	0	0	0	0	0	0	15	6	1
0	0	0	0	0	0	0	16	6	1
0	0	0	0	0	0	0	17	6	1
0	0	0	0	0	0	0	18	6	1
0	0	0	0	0	0	0	19	6	1
0	0	0	0	0	0	0	20	6	1
0	0	0	0	0	0	0	21	6	1
0	0	0	0	0	0	0	22	6	1
0	0	0	0	0	0	0	23	6	1
0	0	0	0	0	0	0	24	6	1
0	0	0	0	0	0	0	25	6	1
0	0	2	0	0	0	0	26	6	1
0	0	0	0	0	0	0	27	6	1
0	0	0	0	0	0	0	28	6	1
0	0	1	0	1	0	0	29	6	1
0	0	0	0	0	0	0	30	6	1
0	0	0	0	0	0	0	31	6	1
0	0	0	0	0	0	0	32	6	1
0	0	1	0	0	0	0	33	6	1
0	0	0	0	0	0	0	34	6	1
0	0	0	0	0	0	0	35	6	1
0	0	0	0	0	0	0	36	6	1
0	0	0	0	0	0	0	37	6	1
1	0	1	0	0	0	0	38	6	1
2	0	1	0	0	0	0	39	6	1
1	0	2	0	0	0	0	40	6	1
0	0	0	0	0	0	0	41	6	1
0	0	0	0	0	0	0	42	6	1
0	0	0	0	0	0	0	43	6	1
0	0	0	0	0	0	0	44	6	1
0	0	0	0	0	0	0	45	6	1
0	0	0	0	0	0	0	46	6	1
0	0	0	0	0	0	0	47	6	1
0	0	0	0	0	0	0	48	6	1
0	0	0	0	0	0	0	49	6	1
0	0	1	0	0	0	0	50	6	1
0	0	2	0	0	0	0	51	6	1
0	0	0	0	0	0	0	52	6	1
1	0	1	0	0	0	0	53	6	1
0	0	0	0	0	0	0	54	6	1
0	0	0	0	0	1	0	55	6	1
0	0	0	0	0	0	0	56	6	1
0	0	0	0	0	0	0	57	6	1
0	0	0	0	0	1	0	58	6	1
0	0	0	0	0	1	0	59	6	1
0	0	3	0	1	0	0	0	7	1
1	0	1	0	0	0	0	1	7	1
0	0	0	0	0	0	0	2	7	1
0	0	0	0	1	0	0	3	7	1
0	0	1	0	2	0	0	4	7	1
0	0	0	0	1	0	0	5	7	1
0	0	0	0	0	0	0	6	7	1
0	0	0	0	0	0	0	7	7	1
0	0	1	0	0	0	0	8	7	1
1	0	2	0	0	0	0	9	7	1
1	0	1	0	1	0	0	10	7	1
0	0	0	0	0	0	0	11	7	1
0	0	0	0	0	0	0	12	7	1
0	0	0	0	0	0	0	13	7	1
0	0	0	0	0	0	0	14	7	1
0	0	0	0	0	0	0	15	7	1
0	0	0	0	0	0	0	16	7	1
0	0	0	0	0	0	0	17	7	1
0	1	0	0	0	0	0	18	7	1
0	1	0	0	0	0	0	19	7	1
0	0	0	0	0	0	0	20	7	1
0	0	0	0	1	0	0	21	7	1
1	0	0	0	1	0	0	22	7	1
0	0	0	0	1	0	0	23	7	1
2	0	0	0	1	0	0	24	7	1
0	0	1	0	1	0	0	25	7	1
0	0	0	0	1	0	0	26	7	1
1	0	0	0	0	0	0	27	7	1
0	0	0	0	0	0	0	28	7	1
0	0	0	0	0	0	0	29	7	1
0	0	0	0	0	1	0	30	7	1
0	0	0	0	0	3	0	31	7	1
0	0	0	0	0	1	0	32	7	1
0	0	0	0	0	1	0	33	7	1
0	0	0	0	0	0	0	34	7	1
0	0	0	0	0	1	0	35	7	1
0	0	0	0	0	0	0	36	7	1
0	0	0	0	0	0	0	37	7	1
0	0	0	0	0	0	0	38	7	1
0	0	0	0	0	0	0	39	7	1
0	0	0	0	0	0	0	40	7	1
0	0	0	0	0	0	0	41	7	1
0	0	0	0	0	0	0	42	7	1
3	0	3	0	0	0	0	43	7	1
5	0	0	0	0	0	0	44	7	1
2	0	0	0	0	0	0	45	7	1
2	0	5	0	0	0	0	46	7	1
2	0	1	0	1	0	0	47	7	1
0	0	0	0	0	0	0	48	7	1
0	0	0	0	0	0	0	49	7	1
0	0	0	0	0	0	0	50	7	1
1	0	0	0	0	1	0	51	7	1
0	0	0	0	0	0	0	52	7	1
0	0	0	0	0	0	0	53	7	1
0	0	0	0	0	0	0	54	7	1
3	0	2	0	0	0	1	55	7	1
0	0	1	0	0	0	0	56	7	1
1	0	0	0	1	0	0	57	7	1
0	0	0	0	1	0	0	58	7	1
0	0	0	0	0	0	0	59	7	1
0	0	0	0	0	0	0	0	8	1
0	0	0	0	0	0	0	1	8	1
0	0	0	0	0	0	0	2	8	1
0	0	0	0	0	0	0	3	8	1
0	0	0	0	3	0	0	4	8	1
0	0	0	0	1	0	0	5	8	1
0	0	0	0	0	0	0	6	8	1
