anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk	season	episode
cut:1,mad:1,war:1,fucks:1	good:1,war:1,brotherhood:1	king:2,son:1,mad:1,brotherhood:1	stabbed:1	men:1	war:1,mad:1	what:2,good:1,like:1,that:1,tywin:1,best:1		who:1,fucks:1,brotherhood:1	fucks:1	36	1	3
						grace:1,that:1		hours:1		37	1	3
	good:1	pay:1,command:1		men:1,command:1,women:1		khal:2,good:1,khaleesi:1,like:1,had:1,haven:1		horde:2,whom:1,choice:1,how:1		38	1	3
annakhas:1	dead:1	commands:1,command:1,kingdoms:1		commands:1,command:1	hash:2	khaleesi:2,hash:2,annakhas:1,nharees:1,acharoe:1,shafka:1,chare:1,rakharo:1				39	1	3
	return:1	king:1,brother:1				khaleesi:2,khalasar:1,harmed:1,shall:1,nharesoon:1,respect:1,rakharo:1,shafki:1		should:1		40	1	3
										41	1	3
										42	1	3
										43	1	3
	return:1	kind:2,man:1		man:1		better:2,what:2,kind:2,than:2,won:1,have:1,ready:1		disturbing:1		44	1	3
		looking:2,joking:1,kingdoms:1		girls:1		looking:2,what:2,glory:2,joking:1,better:1,chance:1,have:1,than:1		taste:1,how:1,bit:1,horse:1		45	1	3
	die:2,good:1	king:1,particularly:1,brothels:1,may:1,pain:1,drinking:1		boys:1,men:1		that:2,funny:1,what:1,good:1,like:1,joke:1,have:1,half:1,hope:1,wine:1		hope:1		46	1	3
made:1		maybe:1,made:1,brother:1,lurking:1			made:1	that:4,what:3,great:2,like:1,have:1,giving:1,happened:1		how:2,ghouls:1		47	1	3
warm:1	warm:1	king:1,company:1,brother:1			warm:1	finest:1,share:1,like:1,half:1		bit:1		48	1	3
	good:2	man:2		man:2		athjahakar:3,khaleesi:3,good:2,what:1,haker:1,handle:1,change:1		shori:1,horseback:1		49	1	3
	alive:1	man:3,make:1,broadsword:1		man:3		great:1,has:1,true:1,won:1,that:1		honor:1		50	1	3
				boys:1		have:2,khaleesi:1,true:1		horse:1,qohor:1		51	1	3
		maester:1,many:1,except:1		many:1		has:1,harder:1,winters:1,have:1,winter:1		shorter:1,how:1,hold:1,horde:1,birth:1		52	1	3
lies:1	resources:1	mermaids:1,sister:1,patrol:1,companions:1,moment:1,man:1		fishermen:1,boys:1,moment:1,men:1,man:1	lies:1	has:2,what:1,winter:1,than:1		mermaids:1,chopped:1,thousand:1,who:1		53	1	3
	gods:1	king:1				ready:1,winter:1				54	1	3
	gods:1	king:1,many:1,expect:1,brother:1	beds:1	many:1		better:1,winterfell:1,either:1,care:1				55	1	3
	body:1	make:1,master:1		boy:2		that:3,greatsword:1,hand:1,swing:1,hands:1		who:1		56	1	3
	good:1	part:2,skinny:1,smaller:1		boy:2,girl:2		that:3,what:1,good:1		holding:2		57	1	3
made:1	die:1	hacking:1,made:1	sudden:1	men:1,child:1	made:1	hacking:1,ha:1,hammering:1				58	1	3
	dead:3					ha:1				59	1	3
	everybody:1	king:1,extravagance:1,command:1,brother:1,man:1	stabbed:1	tournament:2,command:1,appointment:1,man:1		what:3,khaleesi:2,like:1,hand:1,won:1,likes:1,have:1,true:1	tournament:2	hours:1,how:1,honor:1,qohor:1		0	1	4
	good:1	king:1,brother:1				good:1,save:1,agree:1,harmed:1		whose:1,who:1	dangerous:1	1	1	4
		may:1,broken:1				broken:1,original:1				2	1	4
										3	1	4
mad:1		company:1,mad:1			mad:1	what:2,have:2,winterfell:1		choice:1		4	1	4
warmer:1,hello:1	hodor:3,warmer:1	man:2,kind:1,companion:1		boy:2,man:2	warmer:1	winterfell:2,what:1,that:1,kind:1,charming:1,has:1,true:1,hall:1,happened:1	hello:1	hodor:3	hello:1	5	1	4
dwarf:1	hodor:1,dwarf:1	broken:1,kind:1,kindness:1,spare:1,brother:1		boy:2	lost:1,dwarf:1,saddler:1,saddle:1	like:2,have:2,what:1,has:1,that:1,kind:1,broken:1,shape:1,winterfell:1,kindness:1		horse:2,hospitality:1,hodor:1,horseback:1		6	1	4
	alive:1	master:2,resist:1,kind:1,brothel:1,uncles:1,son:1	bed:1	lady:3		like:2,kind:1,what:1,have:1,pretty:1,winterfell:1,has:1,than:1,happened:1		ass:1,how:1	ass:1	7	1	4
forward:1	forward:1,good:1,died:1	despair:1,brothers:1,next:1		disappointment:1	forward:1	shame:1,great:1,good:1,careful:1,that:1		shoulder:2,how:1		8	1	4
hells:1,hell:1						what:2,stroke:1,that:1,look:1,than:1	hells:1,hell:1	horn:2	hells:1,hell:1	9	1	4
	bloody:1	make:2,past:1,exercise:1		lady:2		love:2,harder:1,looks:1,like:1		love:2,short:1,exercise:1	bloody:1	10	1	4
cowards:1,coward:1,fought:1	cowards:1,coward:1,good:1,today:1	mother:1		yourself:1	cowards:1,coward:1	good:1,had:1,thank:1,have:1,that:1				11	1	4
coward:2,cowards:1	coward:2,cowards:1,bloody:1	talking:1			coward:2,cowards:1				bloody:1	12	1	4
		brother:1,kingdoms:1,marching:1				best:1,what:1,khal:1,have:1,like:1		shouldn:1,horselords:1		13	1	4
fought:1		king:1,expensive:1,man:1		men:2,man:1	advising:1	had:1,grace:1	advising:1	horses:1		14	1	4
warm:1	rode:2,warm:1,blood:1	many:1		men:3,many:1	warm:1	have:2,greatest:2,what:1,like:1,that:1,happened:1,has:1		thousand:1		15	1	4
		many:1,make:1,imagine:1,makes:1,man:1		many:1,man:1		have:2,that:2,happy:2,what:1,like:1,asshai:1,wings:1		dragonglass:1,house:1,else:1,asshai:1	dragonglass:1,asshai:1	16	1	4
	died:1	many:1,man:1	room:1	many:1,men:1,man:1	closest:1	change:2,have:1,that:1,sweet:1,hatch:1,had:1		who:2,whose:1		17	1	4
		kingdoms:1			closer:1	vhagar:1,what:1,than:1,happened:1		bigger:4,whose:1,archonei:1		18	1	4
		sister:2,make:2,smashed:1,expect:1			sad:2,idiot:1	what:1,khal:1,that:1,had:1,better:1,pretty:1,lover:1,grace:1,wind:1,happy:1		how:1,lover:1		19	1	4
hate:2	gods:1,good:1,nobody:1	son:1,pass:1,brother:1,mother:1		girls:4,boys:1,girl:1,children:1	business:1	what:3,have:3,that:2,hate:2,had:2,good:1,unlikely:1	business:1	pass:1	pass:1	20	1	4
mad:2		king:4,mad:2,lessons:1,many:1,maegor:1,matters:1,part:1,uncle:1		tournament:2,many:1	mad:2,causing:1	hand:2,won:1,grandfather:1,that:1	tournament:2,causing:1	who:2,how:1,should:1,assure:1	assure:1	21	1	4
	good:1,flooding:1	king:1,walking:1,many:1,paid:1,brothel:1,sisters:1,commanded:1,packed:1		commanded:1,men:1,many:1		what:1,good:1,champion:1,glory:1,perhaps:1,had:1,great:1,hand:1,better:1,chance:1,have:1,thank:1		stabbings:1,horse:1,whores:1,household:1,who:1,should:1		22	1	4
		personal:1,maester:1,passed:1,many:1		personal:1,many:1	sadness:1	great:1,like:1,hard:1,took:1,charge:1,have:1,grand:1,chambers:1,save:1,care:1,hoping:1		hoping:1,passed:1,else:1	passed:1	23	1	4
	ladies:1,died:1	kings:1,kingdoms:1,many:1		many:1,ladies:1,children:1	since:1	book:3,what:2,great:1,like:1,have:1,hands:1	since:1			24	1	4
	died:1,dying:1	amaryllis:1,brown:1		demented:1,lady:1		what:2,hair:1,harkon:1,that:1		hother:1,hours:1		25	1	4
	everybody:1,died:1	poison:2,man:1,king:1,woman:1,person:1		person:1,woman:1,himself:1,man:1,women:1		that:4,what:2,loved:1,thank:1,likely:1,great:1,hand:1		thought:1,loved:1,how:1,disturbing:1,honor:1,else:1		26	1	4
		lesson:2,kingsguard:1,makes:1,swordsman:1		swordsman:1	chasing:1	that:2,shadows:1,better:1,chasing:1,have:1,hard:1	chasing:1	hours:1,study:1,should:1		27	1	4
		king:1,marry:1,sons:1				shall:1,like:1,that:1		holdfast:2		28	1	4
warn:1,warmer:1,hello:1	warn:1,warmer:1	partner:1			warn:1,warmer:1	that:2,fine:1,freezing:1,like:1	hello:1	should:1,else:1	hello:1	29	1	4
	die:1,woods:1	make:1,man:1,mother:1		man:1	saddle:1	what:1,have:1		horse:1,title:1	title:1	30	1	4
		master:1		boy:1	singularly:1,surprising:1	hugh:2,that:2,better:1,what:1,book:1	singularly:1,surprising:1	hugh:2		31	1	4
		paragon:1				that:4,great:1,book:1,look:1,have:1,has:1,hugh:1		whom:1,trust:1,hugh:1,birds:1,house:1		32	1	4
