anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	time	season	episode
damn:1,war:1	dies:1,war:1			child:1,man:1	war:1	good:2,better:1,honorable:1,luck:1,proud:1	lord:1		damn:1	37	1	5
		daughters:1		person:1,men:1,girls:1		interests:1,won:1,ready:1,please:1,grace:1,best:1,care:1	lord:2			38	1	5
		mommy:1,aunt:1,son:1	home:1	boy:1,man:1		strong:3,beautiful:1,good:1	lord:1			39	1	5
murdered:1,kill:1,killed:1,liars:1	die:1,murdered:1,kill:1,killed:1	mommy:2,father:1,brother:1	house:1	man:3,baby:1,boy:1,men:1	hurt:3,kill:1,killed:1,liars:1	loved:1,love:1,sweet:1		loved:1,love:1		40	1	5
		sister:1		man:2		good:1				41	1	5
jealous:1,fought:1,war:1,wars:1	war:1	father:1,brother:1		man:2,boy:1,child:1	jealous:1,hurt:1,war:1,wars:1	won:2,like:1,sure:1,adores:1,lucky:1	lord:1			42	1	5
fight:1,damn:1,fighting:1,killing:1	die:1,killing:1	wife:1		boy:1,girl:1	shame:1,unpleasant:1,killing:1	good:2,enthusiasm:1,well:1,easy:1			damn:1	43	1	5
outrageous:2,killing:2,fought:1,cunts:1,fight:1,threatening:1,war:1	killing:2,war:1	father:1			killing:2,serious:1,war:1	loves:2,good:1		loves:2,lust:1	cunts:1	44	1	5
cut:1,killing:1	killing:1	brother:1		people:1	killing:1	love:3,kind:1,succession:1		love:3		45	1	5
hated:1		brother:1			serious:1,worst:1	wonderful:1,good:1,glad:1,happy:1				46	1	5
weapons:1		father:2,husband:1		girl:1,child:1	losing:1,serious:1,wrong:1,weapons:1,screamers:1	convinces:1,neat:1,won:1				47	1	5
killing:1	killing:1			people:2,children:1,man:1,women:1	killing:1	wise:1				48	1	5
fight:2,mad:1	bury:1,died:1	father:1		men:1	mad:1				arse:1	49	1	5
hate:1						well:1,like:1				50	1	5
spite:2	ghost:1					like:2,satisfaction:1,cared:1,truth:1,enjoyed:1				51	1	5
				boy:1	lost:1					52	1	5
					worse:1	better:1,beautiful:1,please:1,like:1	lord:3			53	1	5
bastards:1,fuck:1				girl:1,child:1,man:1,women:1	whores:1	better:1,good:1,well:1,happy:1	lord:1	whores:1,fuck:1	bastards:1,fuck:1	54	1	5
		fatherly:1				sure:1,love:1	lord:2	love:1		55	1	5
threaten:2,kill:2	kill:2,die:1,dead:1,alive:1	brother:3		man:2,men:1	kill:2	safe:1,well:1	lord:3,lords:1			56	1	5
										57	1	5
		brother:1					lord:1			58	1	5
										59	1	5
										0	1	6
										1	1	6
		wife:1				grace:1				2	1	6
