time	anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear
228	2	4	9	1	5	3	13	1	6	0
229	0	3	5	0	4	0	15	0	7	1
230	2	4	8	0	3	4	19	2	5	0
231	0	0	3	0	2	0	6	0	2	1
232	1	1	14	1	5	0	13	0	12	0
233	1	0	8	0	3	1	3	0	3	0
234	0	2	9	1	5	0	11	0	4	1
235	2	5	10	1	5	2	21	0	7	0
236	1	0	3	0	1	0	9	0	4	1
237	0	5	1	0	2	0	18	0	4	1
238	1	2	6	2	0	1	12	0	5	0
239	0	1	0	0	2	1	8	1	2	1
240	2	2	6	0	2	4	15	1	1	0
241	1	1	9	1	6	1	15	0	7	0
242	0	1	7	0	6	2	23	1	7	1
243	4	2	15	2	11	3	19	1	15	2
244	2	4	8	0	6	2	11	0	1	0
245	1	5	2	0	6	1	7	0	1	0
246	2	3	2	0	6	3	10	0	3	0
247	1	3	5	0	1	2	8	1	4	0
248	1	3	4	0	2	1	2	0	1	0
249	0	3	7	0	6	1	9	2	2	1
250	1	0	2	0	0	1	3	0	0	0
251	0	1	0	0	0	0	1	0	0	0
252	0	1	2	0	10	0	8	0	2	0
253	2	3	7	0	9	2	17	0	3	0
254	0	2	3	0	3	1	4	0	1	0
255	1	1	6	1	1	5	18	4	2	0
256	0	1	10	1	2	0	15	0	6	0
257	0	1	9	0	3	0	8	0	2	0
258	0	2	16	0	1	0	2	0	2	0
259	1	4	4	1	5	0	17	1	10	1
260	2	3	10	1	3	3	18	1	4	0
261	3	2	10	0	1	2	10	0	2	0
262	1	2	6	0	7	1	12	0	4	0
263	1	2	2	0	2	1	10	0	2	0
264	0	1	6	0	4	0	23	0	3	0
265	0	3	8	0	4	0	20	0	4	1
266	1	1	5	0	1	0	7	1	1	1
267	0	1	0	0	0	0	1	0	0	0
268	2	7	21	0	8	3	8	0	3	0
269	0	1	7	0	5	0	12	1	6	0
270	0	2	14	0	10	0	21	0	2	0
271	0	3	8	0	9	2	23	2	2	0
272	1	2	7	0	3	1	13	0	9	0
273	3	7	5	0	5	2	8	0	3	0
274	0	3	3	0	1	0	11	0	4	0
275	0	0	0	0	0	0	0	0	0	0
276	0	2	0	0	0	0	0	0	0	0
277	0	0	0	0	0	0	0	0	0	0
278	0	0	1	0	0	0	19	0	7	0
279	0	2	11	0	7	1	26	1	6	1
280	3	2	7	0	3	2	20	0	4	2
281	5	2	15	1	4	3	22	1	7	0
282	2	7	12	0	6	2	9	0	7	0
283	0	2	9	0	5	0	7	0	3	0
284	0	3	4	0	0	0	4	0	1	0
285	1	5	2	0	1	1	12	0	3	0
286	0	0	3	0	3	2	12	2	1	1
287	0	4	11	0	4	0	29	1	3	1
288	3	4	10	1	5	4	15	1	4	0
289	1	4	1	0	2	1	4	0	6	0
290	3	3	5	0	1	4	7	1	0	0
291	1	2	20	0	9	0	22	0	13	0
292	1	4	5	0	2	1	8	0	4	0
293	1	0	11	0	10	0	13	0	4	0
294	1	4	6	0	0	2	11	1	8	1
295	2	2	11	1	8	2	22	1	7	0
296	5	5	11	5	3	7	9	1	9	0
297	2	1	11	1	5	0	17	0	6	0
298	2	3	8	2	5	3	16	1	6	0
299	0	3	8	3	5	0	10	0	1	0
300	2	1	7	0	4	1	9	0	6	4
301	0	1	6	1	6	0	7	0	3	0
302	1	0	2	2	1	1	2	0	2	0
